Rnd,Pick,Pick Value,Tm,Player,Pos,Age,From,To,AP1,PB,St,wAV,DrAV,wAV vs Expected,wAV vs Expected and Year,Expected,G,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo,Int,Sk,College/Univ
1,1,3000,CLE,Courtney Brown,DE,22,2000,2005,0,0,4,27,21,-31.80351546,-46.79712102,73.79712102,61,0,0,0,0,0,0,0,0,0,0,0,156,,19,Penn St.
1,1,3000,ATL,Michael Vick,QB,21,2001,2015,0,4,7,92,60,33.19648454,18.81562432,73.18437568,143,1807,3217,22464,133,88,873,6109,36,2,1,0,,,,Virginia Tech
1,1,3000,HOU,David Carr,QB,23,2002,2012,0,0,5,45,42,-13.80351546,-27.53430966,72.53430966,94,1353,2267,14452,65,71,305,1328,9,0,0,0,,,,Fresno St.
1,1,3000,CIN,Carson Palmer,QB,23,2003,2017,0,3,12,107,60,48.19648454,35.15729697,71.84270303,182,3941,6307,46247,294,187,301,474,8,0,0,0,1,,,USC
1,1,3000,LAC,Eli Manning,QB,23,2004,2019,0,4,14,121,,62.19648454,49.89538426,71.10461574,236,4895,8119,57023,366,244,315,567,7,0,0,0,,,,Mississippi
1,1,3000,SFO,Alex Smith,QB,21,2005,2020,0,3,14,98,28,39.19648454,27.68578125,70.31421875,174,3250,5193,35650,199,109,580,2604,15,3,-7,0,,,,Utah
1,1,3000,HOU,Mario Williams,DE,21,2006,2016,1,4,9,79,36,20.19648454,9.535426559,69.46457344,158,0,0,0,0,0,0,0,0,0,0,0,317,,97.5,North Carolina St.
1,1,3000,LVR,JaMarcus Russell,QB,22,2007,2009,0,0,2,6,6,-52.80351546,-62.54733958,68.54733958,31,354,680,4083,18,23,40,175,1,0,0,0,,,,LSU
1,1,3000,MIA,Jake Long,T,23,2008,2016,1,4,6,54,46,-4.803515463,-13.55238216,67.55238216,104,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
1,1,3000,DET,Matthew Stafford,QB,21,2009,2022,0,1,13,116,99,57.19648454,49.53276706,66.46723294,191,4508,7128,52082,333,169,390,1250,15,2,-3,0,1,,,Georgia
1,1,3000,LAR,Sam Bradford,QB,22,2010,2018,0,0,5,44,25,-14.80351546,-21.27633772,65.27633772,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma
1,1,3000,CAR,Cam Newton,QB,22,2011,2021,1,3,9,115,107,56.19648454,51.04001994,63.95998006,148,2682,4474,32382,194,123,1118,5628,75,3,68,1,,,,Auburn
1,1,3000,IND,Andrew Luck,QB,22,2012,2018,0,4,5,72,72,13.19648454,9.507298825,62.49270117,86,2000,3290,23671,171,83,332,1590,14,1,4,0,,,,Stanford
1,1,3000,KAN,Eric Fisher,T,22,2013,2021,0,2,8,62,56,3.196484537,1.159091618,60.84090838,132,0,0,0,0,0,0,0,0,1,-3,1,,,,Central Michigan
1,1,3000,HOU,Jadeveon Clowney,DE,21,2014,2022,0,3,8,53,39,-5.803515463,-5.959123494,58.95912349,109,0,0,0,0,0,0,0,0,0,0,0,224,1,43,South Carolina
1,1,3000,TAM,Jameis Winston,QB,21,2015,2022,0,1,5,59,54,0.1964845366,2.216159921,56.78384008,86,1738,2835,21840,139,96,293,1220,11,0,0,0,,,,Florida St.
1,1,3000,LAR,Jared Goff,QB,21,2016,2022,0,3,6,71,48,12.19648454,16.77707159,54.22292841,100,2250,3502,25854,155,70,209,474,10,1,5,0,2,,,California
1,1,3000,CLE,Myles Garrett,DE,21,2017,2022,2,4,6,62,62,3.196484537,10.86386196,51.13613804,84,0,0,0,0,0,0,0,0,0,0,0,177,,74.5,Texas A&M
1,1,3000,CLE,Baker Mayfield,QB,23,2018,2022,0,0,4,46,40,-12.80351546,-1.296110363,47.29611036,72,1386,2259,16288,102,64,189,660,6,1,17,0,1,,,Oklahoma
1,1,3000,ARI,Kyler Murray,QB,22,2019,2022,0,2,4,51,51,-7.803515463,8.698726612,42.30127339,57,1316,1971,13848,84,41,381,2204,23,0,7,0,,,,Oklahoma
